,tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute
21,,"Paradise, CA",1059575684144738304,A HUGE thank you to all of our wonderful friends and family that joined us for our third annual Harvest Celebration yesterday! It was wonderful seeing each and every one of your… https://www.instagram.com/p/Bp0NFs3n7_G/?utm_source=ig_twitter_share&amp;igshid=1t6wfy06bgm6r,2018-11-05 22:38:23+00:00,,SohnreyFamFoods,,0,0,https://twitter.com/SohnreyFamFoods/status/1059575684144738304,5,22,38
22,,"Paradise, CA",1059570200763338753,"#Repost @BlackBryCreek ・・・ You would never take your child out for quality time suffocating puppies, but fishing is exactly the same thing; it is only tradition and culture that tells us… https://www.instagram.com/p/Bp0Kl4OHH5b/?utm_source=ig_twitter_share&amp;igshid=1qdbe8iezm6fy",2018-11-05 22:16:36+00:00,#Repost,chicovegan,@BlackBryCreek,0,0,https://twitter.com/chicovegan/status/1059570200763338753,5,22,16
23,,"Paradise, CA",1059515069959229441,"Next weekend at redroomtattoo i will be helping out with this tattoo event! To help those who helped us. Giving back. For any info DM me, but I’m painting a flash sheet for this event!! @… https://www.instagram.com/p/BpzxgceBFZP/?utm_source=ig_twitter_share&amp;igshid=11qt2ujuj25zx",2018-11-05 18:37:32+00:00,,dboy5446,,0,0,https://twitter.com/dboy5446/status/1059515069959229441,5,18,37
24,,"Paradise, CA",1059511091200450560,"Sycamores in the autumn sunset. #sycamore #autumn #urbanforest #chico #norcal #naturephotography #jamescoufalik #photosfromthesaddle #cycling @Chico, California https://www.instagram.com/p/BpzvtYihwLr/?utm_source=ig_twitter_share&amp;igshid=6cq6x6kgdq12",2018-11-05 18:21:43+00:00,#sycamore #autumn #urbanforest #chico #norcal #naturephotography #jamescoufalik #photosfromthesaddle #cycling,JamesCoufalik,,0,0,https://twitter.com/JamesCoufalik/status/1059511091200450560,5,18,21
25,,"Paradise, CA",1059493615620276226,STOLEN - Gray Genesis Mountain https://bikeindex.org/bikes/462623,2018-11-05 17:12:17+00:00,,bikeindexstolen,,0,0,https://twitter.com/bikeindexstolen/status/1059493615620276226,5,17,12
26,,"Paradise, CA",1059489768428498944,"I’m feeling insecure. • Social media is generally a place where we share our strong moments, our picture perfect moments, our “I’ve got it all together” moments. But if I want to have a… https://www.instagram.com/p/BpzmBUEl4Wv/?utm_source=ig_twitter_share&amp;igshid=la3yo9b5xgtb",2018-11-05 16:56:59+00:00,,AshleyMJackson,,0,0,https://twitter.com/AshleyMJackson/status/1059489768428498944,5,16,56
27,,"Paradise, CA",1059486532023844864,A rescue closed down and contacted us at @ScottFooMusic and asked us to help them. Beautiful 10 year old male Red Iguana and 15 year old Female Green Iguana. Breeding partners! Need a new… https://www.instagram.com/p/BpzkixhgwAG/?utm_source=ig_twitter_share&amp;igshid=y3rj0oi8p4d3,2018-11-05 16:44:08+00:00,,ScottFooMusic,@ScottFooMusic,0,0,https://twitter.com/ScottFooMusic/status/1059486532023844864,5,16,44
28,,"Paradise, CA",1059479970987282432,"Meet our Chico Stylist Madison | She is a Chico native, born and raised. She tracked us down while attending the Chico Bridal Show, knowing she wanted to buy her wedding gown with… https://www.instagram.com/aebridal/p/BpzhkDYlkRO/?utm_source=ig_twitter_share&amp;igshid=bej4szosbh4t",2018-11-05 16:18:03+00:00,,AE_Bridal,,0,0,https://twitter.com/AE_Bridal/status/1059479970987282432,5,16,18
29,,"Paradise, CA",1059477130243756034,A special meal for our special visitors #eatingforhealth #eattolive #eatgoodfood #healthyeating #healthyliving #castironcooking #brusselssprouts #perfectlycooked #scallops &amp;… https://www.instagram.com/liveg2g/p/BpzgRBzHyHj/?utm_source=ig_twitter_share&amp;igshid=uvl6gmsd5k3j,2018-11-05 16:06:46+00:00,#eatingforhealth #eattolive #eatgoodfood #healthyeating #healthyliving #castironcooking #brusselssprouts #perfectlycooked #scallops,liveg2g,,0,0,https://twitter.com/liveg2g/status/1059477130243756034,5,16,6
30,,"Paradise, CA",1059476297485901825,Chico CA Mon Nov 5th AM Forecast: TODAY Mostly Sunny Hi 78 TONIGHT Clear Lo 50,2018-11-05 16:03:28+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1059476297485901825,5,16,3
31,,"Paradise, CA",1059474552487661568," KIMONO @Paradise, California https://www.instagram.com/p/BpzfGQAljiD/?utm_source=ig_twitter_share&amp;igshid=1569j5mjnmz0o",2018-11-05 15:56:32+00:00,,MeghanFabulous,,1,0,https://twitter.com/MeghanFabulous/status/1059474552487661568,5,15,56
