City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link
"Paradise, CA",1059175736311984128,Drinking a Narwhal Raspberry by @SierraNevada at @sierranevada — http://untp.beer/s/c672278467,2018-11-04 20:09:08+00:00,,sacbeers,@SierraNevada @SierraNevada,0,0,https://twitter.com/sacbeers/status/1059175736311984128
"Paradise, CA",1059174549244133376,"#FrogFire unofficial new fire report; details uncertain. #PlumasCounty; ~6mi S of Storrie, CA. ~88mi N of Sacramento, CA. See officials for safety info. May be incorrect; disclaimers in images.",2018-11-04 20:04:25+00:00,#FrogFire #PlumasCounty,CaliFireBot,,0,0,https://twitter.com/CaliFireBot/status/1059174549244133376
"Paradise, CA",1059158994097303552,#breakthrough moment here after #sweet16 years of #NaNoWriMo I'm a #pantser which means I don't write with a #plot my first draft. Now typically when I hit my #ahamoment I'll scrap and… https://www.instagram.com/p/BpxPmLIltHk/?utm_source=ig_twitter_share&amp;igshid=fki59oddo20m,2018-11-04 19:02:37+00:00,#breakthrough #sweet16 #NaNoWriMo #pantser #plot #ahamoment,kathieblog,,0,0,https://twitter.com/kathieblog/status/1059158994097303552
"Paradise, CA",1059153903646896129,"It's such a joy to have a client love their hair again! The lovely lady had brassy, grown out color, and wanted a lighter, brighter look with deep dimension. I think we hit the nail on the… https://www.instagram.com/p/BpxNSNQnuZn/?utm_source=ig_twitter_share&amp;igshid=zjsy7j6nfqka",2018-11-04 18:42:23+00:00,,EvelynToddHair,,0,0,https://twitter.com/EvelynToddHair/status/1059153903646896129
"Paradise, CA",1059114138805460993,"Many times I wonder why I have to live in chronic pain? Why Lord, do you allow this? What purpose is it serving? And then I am reminded that I would wander and stray and rely on my own… https://www.instagram.com/p/Bpw7MuTHH1o/?utm_source=ig_twitter_share&amp;igshid=1xlbt3gnayazz",2018-11-04 16:04:22+00:00,,itry2frog1st,,0,0,https://twitter.com/itry2frog1st/status/1059114138805460993
"Paradise, CA",1059113902754160640,Chico CA Sun Nov 4th AM Forecast: TODAY Partly Cloudy Hi 80 TONIGHT Mostly Clear Lo 52,2018-11-04 16:03:26+00:00,,_ChicoCA,,1,0,https://twitter.com/_ChicoCA/status/1059113902754160640
"Paradise, CA",1059109414412713985,Baby Charlie’s first birthday party!! So much fun celebrating our adorable grandson with family and friends. Congrats brianacake and shawnclark7 for creating a wonderful year 1 for… https://www.instagram.com/p/Bpw0n-FHrb3/?utm_source=ig_twitter_share&amp;igshid=qygktqu48kim,2018-11-04 15:45:36+00:00,,CuratedTravelHL,,0,0,https://twitter.com/CuratedTravelHL/status/1059109414412713985
"Paradise, CA",1059099680645279747,Baby Charlie’s first birthday Party!! So much fun celebrating our adorable grandson with family and friends. Congrats brianacake and shawnclark7 for creating a wonderful year 1 for… https://www.instagram.com/p/Bpw0n-FHrb3/?utm_source=ig_twitter_share&amp;igshid=1eyfmoxibzucw,2018-11-04 15:06:55+00:00,,CuratedTravelHL,,0,0,https://twitter.com/CuratedTravelHL/status/1059099680645279747
"Paradise, CA",1059090435338104832,"Morning breaking as we #fallback towards wintertime #sunrise #wintersky #socal @Paradise, California https://www.instagram.com/liveg2g/p/BpwwbBcHQMS/?utm_source=ig_twitter_share&amp;igshid=13yzt9r6w5hvu",2018-11-04 14:30:11+00:00,#fallback #sunrise #wintersky #socal,liveg2g,,0,0,https://twitter.com/liveg2g/status/1059090435338104832
"Paradise, CA",1059040273542443009,"Chico, Californiaに写真を投稿しましたhttps://www.instagram.com/p/BpwZnVzn4mU/?utm_source=ig_twitter_share&amp;igshid=11qoy9vi6sv0s",2018-11-04 11:10:51+00:00,,Highwired,,0,0,https://twitter.com/Highwired/status/1059040273542443009
"Paradise, CA",1058946551840755712,"Gose w/Mango, Lime& Pink Himalayan Sea Salt @The Chico Taproom https://www.instagram.com/p/Bpvu_f3nQUq/?utm_source=ig_twitter_share&amp;igshid=1971le0yrfoub",2018-11-04 04:58:26+00:00,,Sporticuslive,,0,0,https://twitter.com/Sporticuslive/status/1058946551840755712
"Paradise, CA",1058906766472183808,i miss these picnics @keelinaiko @Pomona West Apartments https://www.instagram.com/p/Bpvc5aSFywtSYYQveLc-cY6peIt6T16XUU_6b00/?utm_source=ig_twitter_share&amp;igshid=1gcyjpqm3jh3k,2018-11-04 02:20:21+00:00,,nocakeyky,@keelinaiko,0,0,https://twitter.com/nocakeyky/status/1058906766472183808
"Paradise, CA",1058881832639442944,"i found the beach boy @Chico, California https://www.instagram.com/p/BpvRj2LnOeY/?utm_source=ig_twitter_share&amp;igshid=1byz0obotmlpi",2018-11-04 00:41:16+00:00,,Quadmft,,0,0,https://twitter.com/Quadmft/status/1058881832639442944
"Paradise, CA",1058881109843476480,"Last night I needed the energy support from these three... NingXia Zyng, NingXia Nitro & Lime Vitality EO. . Natural, toxin free health and wellness support is the only option for our… https://www.instagram.com/p/BpvCEswnptB/?utm_source=ig_twitter_share&amp;igshid=1h39harn0fshz",2018-11-04 00:38:24+00:00,,itry2frog1st,,0,0,https://twitter.com/itry2frog1st/status/1058881109843476480
"Paradise, CA",1058876120311971840,Freshness of expression Expression rides her angle Angle you see every morning Morning with a new drive Drive her away as she abides Abides gracefully on her feet Feet dancing as life… https://www.instagram.com/p/BptGi3QgEuX/?utm_source=ig_twitter_share&amp;igshid=1deoql84q7nan,2018-11-04 00:18:34+00:00,,happinessuchei1,,0,0,https://twitter.com/happinessuchei1/status/1058876120311971840
"Paradise, CA",1058872308725673989,Chico CA Sat Nov 3rd PM Forecast: TONIGHT Mostly Clear Lo 53 SUNDAY Partly Cloudy Hi 80,2018-11-04 00:03:25+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1058872308725673989
"Paradise, CA",1058869914101006336,"Learned this nifty trick from ryanleung , using whiteboard markers on glass makes the near (sun can make it wonky for a bit) perfect #storyboard How do you keep track of characters and… https://www.instagram.com/p/BpvMI-eFusr/?utm_source=ig_twitter_share&amp;igshid=1x6ylxwaxrf8l",2018-11-03 23:53:55+00:00,#storyboard,kathieblog,,0,0,https://twitter.com/kathieblog/status/1058869914101006336
"Paradise, CA",1058836475310211072,I got a hunch that I’m not the only one. @Local's Choice https://www.instagram.com/p/Bpu8tHFH3XZ/?utm_source=ig_twitter_share&amp;igshid=1t7w5tup9ugar,2018-11-03 21:41:02+00:00,,mharpertheman,,0,0,https://twitter.com/mharpertheman/status/1058836475310211072
"Paradise, CA",1058834366292385792,"#GrandeFire unofficial new fire report; details uncertain. #ButteCounty; Near Berry Creek, CA. ~73mi N of Sacramento, CA. See officials for safety info. May be incorrect; disclaimers in images.",2018-11-03 21:32:39+00:00,#GrandeFire #ButteCounty,CaliFireBot,,1,0,https://twitter.com/CaliFireBot/status/1058834366292385792
"Paradise, CA",1058820991785164800,The digital press is my date today. #crushingit #cloudsanddirt #chicoca #localschoiceprinting @Local's Choice https://www.instagram.com/p/Bpu14rSnY4n/?utm_source=ig_twitter_share&amp;igshid=f9k68xfug075,2018-11-03 20:39:31+00:00,#crushingit #cloudsanddirt #chicoca #localschoiceprinting,mharpertheman,,0,0,https://twitter.com/mharpertheman/status/1058820991785164800
"Paradise, CA",1058812394506539010,#Repost @chicovegan ・・・ Chico Vegan Thanksgiving 2018 Please join Chico Vegan Meetup for our Sixth Annual Chico Vegan Thanksgiving Potluck! It will be a compassionate harvest-themed… https://www.instagram.com/p/Bpux-9pHRMY/?utm_source=ig_twitter_share&amp;igshid=1f9q0xijzy523,2018-11-03 20:05:21+00:00,#Repost,chicovegan,@chicovegan,0,0,https://twitter.com/chicovegan/status/1058812394506539010
"Paradise, CA",1058782253159837696,Give the gift of golf this holiday season and get your family signed up for our 2-month Preview Membership for only $400! This membership includes unlimited golf on our championship… https://www.instagram.com/p/BpukQaYnLLO/?utm_source=ig_twitter_share&amp;igshid=1d2nf9d354nay,2018-11-03 18:05:35+00:00,,BCCC175,,0,0,https://twitter.com/BCCC175/status/1058782253159837696
"Paradise, CA",1058771487895773184,"Good morning Mozart! #northstatesymphony #mozart #rehearsal #conductor #masterworks #saturday #chicoca @California State University, Chico https://www.instagram.com/p/BpufXz7HWWW/?utm_source=ig_twitter_share&amp;igshid=1b11j2ljkk9cn",2018-11-03 17:22:48+00:00,#northstatesymphony #mozart #rehearsal #conductor #masterworks #saturday #chicoca,NStateSymphony,,0,0,https://twitter.com/NStateSymphony/status/1058771487895773184
"Paradise, CA",1058770109257392129,There is no place like my hometown farmers market. @Chico Certified Farmers' Market https://www.instagram.com/p/BpuewYigOX2/?utm_source=ig_twitter_share&amp;igshid=dc7p9gjogmr0,2018-11-03 17:17:19+00:00,,sarahebodnar,,0,0,https://twitter.com/sarahebodnar/status/1058770109257392129
"Paradise, CA",1058763081696735232,Happy Saturday VOTE . . . . . #photooftheday #instadaily #travel #photo #photographer #flyinghorsedesigncom #beautiful #nature #picoftheday #instagram #instalike #photography #follow… https://www.instagram.com/p/Bpubjyel9ZG/?utm_source=ig_twitter_share&amp;igshid=15fkqels0aso1,2018-11-03 16:49:24+00:00,#photooftheday #instadaily #travel #photo #photographer #flyinghorsedesigncom #beautiful #nature #picoftheday #instagram #instalike #photography #follow,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058763081696735232
"Paradise, CA",1058762020353384449,Happy Saturday VOTE . . . . . #photooftheday #instadaily #travel #photo #photographer #flyinghorsedesigncom #beautiful #nature #picoftheday #instagram #instalike #photography #follow… https://www.instagram.com/p/BpubE1mFsVn/?utm_source=ig_twitter_share&amp;igshid=1bjln1tbl7va7,2018-11-03 16:45:11+00:00,#photooftheday #instadaily #travel #photo #photographer #flyinghorsedesigncom #beautiful #nature #picoftheday #instagram #instalike #photography #follow,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058762020353384449
"Paradise, CA",1058758285334138880,"Vote like your happiness depends on it. #ca #chico #mmjlife #mmjpatient #cancersuck @Chico, California https://www.instagram.com/p/BpuZXUhhW_U/?utm_source=ig_twitter_share&amp;igshid=ybtgdq1nua6d",2018-11-03 16:30:20+00:00,#ca #chico #mmjlife #mmjpatient #cancersuck,Med2You,,0,0,https://twitter.com/Med2You/status/1058758285334138880
"Paradise, CA",1058751445116297217,"Vote Blue 2018 snoke Green 2019 #veteran #lovequotes #voteblue @Chico, California https://www.instagram.com/p/BpuWQnzBGDF/?utm_source=ig_twitter_share&amp;igshid=10yvm2pvxfqy4",2018-11-03 16:03:09+00:00,#veteran #lovequotes #voteblue,Med2You,,0,0,https://twitter.com/Med2You/status/1058751445116297217
"Paradise, CA",1058745091878150144,"The view from under the covers #IggyPup #DoxieButts #Saturday #SleepingLate @Paradise, California https://www.instagram.com/p/BpuTYHhHxtmAkFnPaLJkBSDrlb4W4AM-ipzfb00/?utm_source=ig_twitter_share&amp;igshid=tbazdebt8wt9",2018-11-03 15:37:55+00:00,#IggyPup #DoxieButts #Saturday #SleepingLate,tricalee3,,0,1,https://twitter.com/tricalee3/status/1058745091878150144
"Paradise, CA",1058736416186949632,Chico CA Sat Nov 3rd AM Forecast: TODAY Mostly Sunny Hi 83 TONIGHT Mostly Clear Lo 54,2018-11-03 15:03:26+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1058736416186949632
"Paradise, CA",1058730749388619776,Hollow Falls @North Table Mountain Ecological Reserve https://www.instagram.com/p/BpuM2lWARI3/?utm_source=ig_twitter_share&amp;igshid=5s2lr2fz4nlj,2018-11-03 14:40:55+00:00,,TomDaly10,,0,0,https://twitter.com/TomDaly10/status/1058730749388619776
"Paradise, CA",1058717947332562945,"Autumn sunsets are the most colorful backdrop for the weekend from our perch. #sunsetviews #sunsets #chicoca #traveladvisor #autumnsunsets #curatedtravel #weekendvibes @Chico, California https://www.instagram.com/p/BpuHCHUnnKP/?utm_source=ig_twitter_share&amp;igshid=1wwegpzfeawqx",2018-11-03 13:50:03+00:00,#sunsetviews #sunsets #chicoca #traveladvisor #autumnsunsets #curatedtravel #weekendvibes,CuratedTravelHL,,0,0,https://twitter.com/CuratedTravelHL/status/1058717947332562945
"Paradise, CA",1058623713699086336,"i found the beach boy @Chico, California https://www.instagram.com/p/BptcLt7nWAX/?utm_source=ig_twitter_share&amp;igshid=1jszl4am2qenp",2018-11-03 07:35:36+00:00,,Quadmft,,0,0,https://twitter.com/Quadmft/status/1058623713699086336
